path,role,lines,module_description,imports,top_level_symbols
.codacy.yaml,implementation/configuration,35,,,
.github/dependabot.yml,implementation/configuration,109,,,
.github/workflows/aws-infra-validate.yml,implementation/configuration,86,,,
.github/workflows/ci.yml,implementation/configuration,1691,,,error; check; error; already; error
.github/workflows/codacy.yml,implementation/configuration,91,,,
.github/workflows/deploy-aks.yml,implementation/configuration,41,,,
.github/workflows/deploy-eks.yml,implementation/configuration,49,,,
.github/workflows/deploy-gke.yml,implementation/configuration,43,,,
.github/workflows/deploy-staging.yml,implementation/configuration,106,,,
.github/workflows/offline-bundle.yml,implementation/configuration,284,,,ci
.github/workflows/release-integration.yml,implementation/configuration,44,,,
.github/workflows/release.yml,implementation/configuration,126,,,
.github/workflows/require-verified-sha.yml,implementation/configuration,50,,,
.trivyignore.yaml,implementation/configuration,99,,,
Jenkinsfile,implementation/configuration,190,,,
Makefile,implementation/configuration,469,,,checking; deployed
architecture/api/agents.postman_collection.json,implementation/configuration,468,,,
architecture/verification/agentic-live-api-2026-09-15.json,implementation/configuration,16,,,
architecture/verification/exploratory-20260916/manifest.yaml,implementation/configuration,102,,,
backend/Dockerfile,implementation/configuration,189,,,
backend/app/__init__.py,implementation/configuration,1,,,
backend/app/agents/__init__.py,implementation/configuration,33,Multi-agent system for test report processing and analysis.,app.agents.conversation; importlib,__getattr__
backend/app/agents/analysis_agent.py,implementation/configuration,1593,Root Cause Analysis Agent — Stage 3 of the offline pipeline.,app.agents.base; app.agents.consistency; app.core.config; app.db.mongo; app.db.postgres; app.models.agent_contracts; app.models.postgres; app.services.agent; app.services.agent_capability_registry; app.services.agent_config_resolver; app.services.analysis_corrections; app.services.analysis_router; app.services.artifact_store; app.services.category_normalizer; app.services.confidence_validation; app.services.kind_evidence; app.services.llm_cost_budget; app.services.pipeline_budget_service; app.services.privacy_service; app.services.prompt_registry; app.services.step_llm_budget; app.services.training.classifier; asyncio; copy; datetime; hashlib; json; sqlalchemy; sqlalchemy.dialects.postgresql; structlog; time; uuid,_hash_text; _hash_json; _metadata_cache_key; _metadata_cache_get; _metadata_cache_set; AnalysisAgent
backend/app/agents/anomaly_agent.py,implementation/configuration,735,Anomaly Detection Agent — Stage 2 of the offline pipeline.,__future__; app.agents.base; app.core.config; app.db.postgres; app.models.agent_contracts; app.models.postgres; app.services.llm_factory; app.services.prompt_registry; datetime; sqlalchemy; sqlalchemy.ext.asyncio; statistics; structlog; time; typing,_status_value; AnomalyDetectionAgent
backend/app/agents/base.py,implementation/configuration,603,Base agent class shared by all pipeline agents.,abc; app.core.config; app.core.metrics; app.core.tracing; app.db.postgres; app.models.postgres; app.services.agent_capability_registry; app.services.ai_config_resolver; app.services.llm_cost_budget; app.services.llm_cost_reservation; app.services.llm_pricing; app.services.pipeline_budget_service; app.services.pipeline_event_log; app.services.workflow_step_context; app.streams.live_fanout; datetime; opentelemetry.trace; sqlalchemy; structlog; time; typing,BaseAgent
backend/app/agents/change_ownership_agent.py,implementation/configuration,206,Tenant-scoped change-correlation and ownership specialist.,__future__; app.agents.base; app.db.postgres; app.models.agent_contracts; app.models.postgres; app.services.evidence_sanitizer; app.services.ownership_resolver_service; app.services.regression_diff_service; sqlalchemy; typing; uuid,_safe; _public_diff; ChangeOwnershipAgent
backend/app/agents/cluster_agent.py,implementation/configuration,263,Stage 2b: Failure Clustering Agent.,app.agents.base; app.db.postgres; app.models.agent_contracts; app.models.postgres; app.services.evidence_sanitizer; app.services.workflow_step_context; app.tools.embed_and_cluster; json; sqlalchemy; structlog,ClusterAgent
backend/app/agents/consistency.py,implementation/configuration,507,Pure-local self-critique / verification layer (AIQ-P2).,__future__; app.services.criticality_service; app.services.policy_evaluator_service; pydantic; structlog,_as_list; _phrase_present_unnegated; ConsistencyCheck; ConsistencyReport; log_consistency_failures; check_summary_consistency; _release_band; check_release_consistency; _finish_release_checks; _replayed_recommendation; check_analysis_consistency
backend/app/agents/contract_agent.py,implementation/configuration,281,Bounded API contract specialist for the deep test-intelligence workflow.,__future__; app.agents.base; app.models.agent_contracts; app.services.evidence_sanitizer; app.services.workflow_step_context; app.tools.validate_api_contract; hashlib; json; structlog; typing,_checksum; ContractAgent
backend/app/agents/conversation.py,implementation/configuration,1200,Conversation Agent — Chat interface for test analysis.,app.core.config; app.db.chroma; app.db.mongo; app.db.postgres; app.models.postgres; app.services.analysis_router; app.services.failure_detail_service; app.services.llm_cost_reservation; app.services.llm_factory; app.services.memory_recall; app.services.privacy_service; app.services.prompt_registry; app.services.redaction_service; app.services.storage_config_service; app.tools.chat_read_tools; asyncio; datetime; enum; hashlib; importlib; json; langchain_core.messages; langchain_core.prompts; re; sqlalchemy; sqlalchemy.orm; structlog; time; typing; uuid,QueryIntent; classify_intent; ConversationAgent
backend/app/agents/decision_report_agent.py,implementation/configuration,627,Terminal synthesis for the deep test-intelligence workflow.,__future__; app.agents.base; app.agents.deep_persistence; app.models.agent_contracts; app.services.canonical_json; app.services.decision_evidence_snapshot; app.services.evidence_artifact_service; app.services.evidence_sanitizer; app.services.run_evidence_bundle; copy; datetime; structlog; typing,_stable_hash; compute_decision_evidence_hash; decision_evidence_projection; _as_dict; _as_dict_list; _claim_evidence; _artifact_ref; _build_typed_claims; _build_proposed_actions; build_decision_intelligence; _coverage_line; render_decision_markdown; DecisionReportAgent
backend/app/agents/decision_report_critic_agent.py,implementation/configuration,893,Independent terminal verification and bounded repair for decision reports.,__future__; app.agents.base; app.agents.consistency; app.agents.decision_report_agent; app.db.mongo; app.models.agent_contracts; app.services.decision_evidence_snapshot; app.services.decision_report_eval_service; app.services.decision_report_service; app.services.evidence_artifact_service; app.services.privacy_service; app.services.release_decision_webhook; app.services.release_policy_replay; asyncio; copy; datetime; structlog; typing,_verify_snapshot_artifacts; _check; _known_test_ids; _referential_violations; _missing_contracts; _invalid_contracts; _comparison_projection; evaluate_decision_report; _repair_references; review_and_repair_decision_report; _snapshot_verification_state; _attach_durable_verification; _replace_final_markdown; DecisionReportCriticAgent
backend/app/agents/deep_persistence.py,implementation/configuration,329,Deep-pipeline persistence — FailureCluster + DeepFinding rows (AI-F4).,__future__; app.db.postgres; app.models.postgres; app.services.evidence_sanitizer; collections; sqlalchemy; structlog; typing; uuid,_member_analyses; synthesize_deep_findings; persist_deep_results; persist_failure_cluster_snapshot
backend/app/agents/defect_commander.py,implementation/configuration,484,Defect Commander Agent.,app.agents.base; app.core.config; app.db.postgres; app.models.postgres; app.services.action_policy; app.services.criticality_service; app.services.defect_promotion_service; app.services.llm_cost_reservation; app.services.pipeline_lease; app.services.tool_call_idempotency; sqlalchemy; structlog; typing; uuid,DefectCommander; run_defect_commander; _StandaloneCommander
backend/app/agents/evidence.py,implementation/configuration,156,Structured evidence + confidence scoring (AIQ-P3).,__future__; app.services.redaction_service; pydantic; typing,EvidenceRef; _zero_breakdown; aggregate_confidence
backend/app/agents/fixer/__init__.py,implementation/configuration,9,"The Fixer — budgeted, validated-fix agent (Agentic plan AI-2).",app.agents.fixer.workflow,
backend/app/agents/fixer/pipeline.py,implementation/configuration,732,Fixer pipeline stages (Agentic plan AI-2).,__future__; app.agents.fixer.state; app.core.config; app.db.postgres; app.models.postgres; app.services; app.services.feedback_service; app.services.github_checks_service; app.services.llm_factory; app.services.llm_pricing; app.services.memory_recall; app.services.prompt_registry; base64; datetime; httpx; json; re; sqlalchemy; sqlalchemy.ext.asyncio; structlog; typing; uuid,select_candidates; gather_diagnosis; generate_candidate_patch; _extract_json; diff_touched_paths; _glob_to_regex; glob_match; patch_touches_only_test_globs; summarize_patch; apply_unified_diff; split_per_file_diffs; fetch_default_branch; open_draft_pr; _pr_body; outcome_for_pr; poll_open_fixer_prs; utcnow
backend/app/agents/fixer/runners.py,implementation/configuration,607,ValidationRunner implementations for the Fixer (Agentic plan AI-2).,__future__; abc; app.agents.fixer.state; app.services.github_checks_service; asyncio; datetime; hashlib; httpx; os; re; shlex; shutil; structlog; tempfile; time; typing; uuid,redact_secrets; ValidationRunner; build_command_tokens; build_clone_argv; build_docker_run_argv; _digest; NoRunner; DockerEphemeralRunner; WorkflowDispatchRunner; FakeRunner; build_runner
backend/app/agents/fixer/state.py,implementation/configuration,166,Value types + constants for the Fixer (Agentic plan AI-2).,__future__; dataclasses; re; typing,is_valid_runner_image; TestIdentity; ValidationSpec; RunAttempt; ValidationResult; FixCandidate; to_validation_result
backend/app/agents/fixer/workflow.py,implementation/configuration,575,Fixer run orchestrator (Agentic plan AI-2).,__future__; app.agents.fixer; app.agents.fixer.runners; app.agents.fixer.state; app.core.config; app.db.postgres; app.models.postgres; app.services; app.services.github_checks_service; app.services.llm_cost_reservation; app.services.prompt_registry; datetime; sqlalchemy; structlog; time; typing; uuid,TerminalDecision; classify_validation_terminal; _kill_switch_tripped; _clone_host; _github_ctx; _count_open_prs; _new_attempt; _advance; run_fixer_run; _build_spec; _run_summary; _finalize; _registry_digest
backend/app/agents/flaky_sentinel_agent.py,implementation/configuration,403,Flaky Sentinel Agent.,app.agents.base; app.db.postgres; app.models.agent_contracts; app.models.postgres; app.services.flaky_investigator; app.services.flaky_quarantine_service; app.services.flaky_signals; app.services.flaky_statistics; app.services.flaky_step_analysis; app.services.ml; app.services.ml.flaky_confidence; app.services.runs_service; app.services.workflow_step_context; app.tools.fetch_build_changes; json; sqlalchemy; structlog; uuid,_detect_flaky_onset; _reconcile_recommendation; FlakySentinelAgent
backend/app/agents/gap_detection_agent.py,implementation/configuration,212,Gap Detection Agent (AIQ-P4).,app.agents.base; app.agents.evidence; app.core.config; app.models.agent_contracts; structlog,_as_list; GapDetectionAgent
backend/app/agents/ingestion_agent.py,implementation/configuration,162,Ingestion Agent — Stage 1 of the offline pipeline.,app.agents.base; app.db.postgres; app.models.agent_contracts; app.models.postgres; app.services.run_input_fingerprint; sqlalchemy; structlog,IngestionAgent
backend/app/agents/investigator/__init__.py,implementation/configuration,11,"Hypothesis-loop Investigator (Agentic plan AI-1, shadow mode).",app.agents.investigator.workflow,
backend/app/agents/investigator/hypotheses.py,implementation/configuration,992,The five hypothesis sub-agents of the Investigator (Agentic plan AI-1).,__future__; app.agents.base; app.agents.investigator.persistence; app.core.config; app.models.agent_contracts; app.services.evidence_sanitizer; app.services.llm_factory; app.services.llm_pricing; app.services.prompt_registry; app.services.resilience; asyncio; json; time; typing,_ev; _clamp; _sample_names; _parse_llm_json; HypothesisAgent; InfraHypothesisAgent; CommitHypothesisAgent; EnvironmentHypothesisAgent; KnownFlakyHypothesisAgent; RegressionHypothesisAgent
backend/app/agents/investigator/persistence.py,implementation/configuration,634,Row-level persistence helpers for the Investigator (Agentic plan AI-1).,__future__; app.db.postgres; app.models.postgres; dataclasses; datetime; math; sqlalchemy; structlog; typing; uuid,BudgetReservation; _bounded_nonnegative; bounded_accounting_int; bounded_accounting_cost; _binding_dict; _append_reason; _strict_nonnegative_int; _strict_cost; _valid_iso; _valid_receipt_map; _expired; _receipt_matches; _recompute_reserved; _reserve_budget_ledger; _settle_budget_ledger; reconcile_outstanding_budget_ledger; reserve_investigation_budget; settle_investigation_budget; is_cancel_requested; persist_hypothesis; set_investigation_status; utcnow_iso
backend/app/agents/investigator/state.py,implementation/configuration,69,LangGraph state for the hypothesis-loop Investigator (Agentic plan AI-1).,__future__; typing; typing_extensions,_concat_lists; _add_int; _add_float; InvestigationState
backend/app/agents/investigator/synthesis.py,implementation/configuration,498,Synthesis node of the Investigator (Agentic plan AI-1).,__future__; app.agents.base; app.agents.investigator.persistence; app.core.config; app.models.agent_contracts; app.services.evidence_sanitizer; app.services.llm_factory; app.services.llm_pricing; app.services.prompt_registry; app.services.resilience; asyncio; json; time; typing,pick_primary_cause; deterministic_narrative; SynthesisAgent
backend/app/agents/investigator/workflow.py,implementation/configuration,1269,LangGraph workflow for the hypothesis-loop Investigator (Agentic plan AI-1).,__future__; app.agents.investigator.hypotheses; app.agents.investigator.persistence; app.agents.investigator.state; app.agents.investigator.synthesis; app.db.postgres; app.models.enums; app.models.postgres; app.services.agent_capability_registry; app.services.agent_config_service; app.services.agent_investigation_service; app.services.agent_planner; app.services.eval_provenance_service; app.services.evidence_sanitizer; app.services.github_pr_comment_service; app.services.llm_cost_reservation; app.services.memory_recall; app.services.pipeline_event_log; app.services.prompt_registry; app.services.review_request_service; app.services.rules_engine; app.services.run_compare_service; app.services.workflow_run_state; datetime; langgraph.graph; sqlalchemy; structlog; time; typing; uuid,_run_dict; _infra_keyword_hits; _gather_bundle; plan_node; _mark_plan_stage_done; infra_node; commit_node; environment_node; known_flaky_node; regression_node; synthesis_node; _build_graph; _create_stage_rows; _prompt_versions; _registry_digest; _merge_hypotheses; _verdict_summary_line; _safe_investigation_error; _terminal_status; _finalize; resume_investigation; _run_investigator_graph; run_investigation; reap_stale_investigations
backend/app/agents/log_intelligence_agent.py,implementation/configuration,409,Log Intelligence Agent.,app.agents.base; app.agents.evidence; app.models.agent_contracts; app.services.evidence_sanitizer; app.services.workflow_step_context; app.tools.detect_log_anomaly; app.tools.reconstruct_trace; json; structlog,_grade_anomaly_evidence; _grade_trace_evidence; LogIntelligenceAgent
backend/app/agents/regression_watchman.py,implementation/configuration,588,Regression Watchman Agent.,app.agents.base; app.core.config; app.db.postgres; app.models.agent_contracts; app.models.llm_schemas; app.models.postgres; app.services.category_normalizer; app.services.llm_cost_reservation; app.services.llm_factory; app.services.llm_json_parser; app.services.prompt_registry; app.services.redaction_service; asyncio; collections; json; sqlalchemy; structlog; typing; uuid,RegressionWatchman; run_regression_watchman; _StandaloneWatchman
